		kNearest_keepEdges								kNearest_removeEdges								kSpan_average_keepEdges			kSpan_average_removeEdges			kSpan_minimum_keepEdges			kSpan_minimum_removeEdges							
62	0	0	0	0	0	0.12	0.2	0.2	0.2	0	0	0	0.04	0.12	0.12	0.2	0.2	0.32	0.32	0.32	0.4	0.4	0.4	0.32	0.32	0.2	0.4	0.2	0.2	0.32	0.4	0.4	0.4	0.4
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0.12	0.4	0.32	0.2	0.4	0.32	0.2	0.24	0.32	0.32	0.32	0.24	0.2	0.12	0.12	0.2
64	0.12	0.2	0.24	0.24	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.24	0.2	0.2	0.12	0.2	0.4	0.32	0.2	0.4	0.32	0.32	0.4	0.24	0.4	0.4	0.2	0.4	0.4	0.44	0.32	0.32	0.4
65	0.12	0.2	0.12	0.12	0.2	0.2	0.24	0.24	0.24	0.12	0.12	0.12	0.12	0.24	0.24	0.24	0.24	0.12	0.32	0.32	0.2	0.24	0.32	0.12	0.32	0.24	0.2	0.4	0.2	0.24	0.24	0.24	0.2	0.12
66	0.04	0.12	0.12	0.2	0.12	0.12	0.12	0.12	0.12	0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.32	0.2	0.2	0.32	0.2	0.24	0.32	0.32	0.12	0.32	0.32	0.12	0.12	0.12	0.12	0.2	0.12
67	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.2	0.2	0.12	0.12	0.04	0.04	0.12	0.12	0.2	0.12	0.2	0.12	0.2	0.2	0.12	0.2	0.12	0.32	0.2	0.2	0.32	0.2	0.2	0.2	0.2	0.2	0.2
68	0.12	0.2	0.2	0.2	0.32	0.32	0.32	0.24	0.2	0.2	0.12	0.2	0.2	0.32	0.32	0.24	0.2	0.32	0.24	0.32	0.4	0.32	0.32	0.32	0.4	0.32	0.4	0.4	0.32	0.4	0.52	0.4	0.4	0.4
69	0	0.04	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0.12	0.2	0.2	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.24	0.2	0.2	0.2	0.2
70	0	0	0	0	0.2	0.2	0.2	0.2	0.2	0	0	0	0.04	0.2	0.2	0.2	0.2	0.4	0.4	0.4	0.52	0.44	0.4	0.4	0.32	0.32	0.52	0.32	0.32	0.32	0.32	0.32	0.32	0.32
71	0.2	0.04	0.04	0.04	0.12	0.12	0.24	0.2	0.4	0.24	0.12	0.04	0.12	0.12	0.2	0.2	0.2	0.4	0.52	0.44	0.44	0.52	0.44	0.4	0.4	0.2	0.44	0.44	0.24	0.32	0.24	0.24	0.24	0.32
72	0	0	0.12	0.04	0.2	0.24	0.32	0.32	0.2	0	0.04	0.04	0.2	0.2	0.32	0.32	0.32	0.24	0.32	0.4	0.2	0.4	0.4	0.24	0.4	0.4	0.2	0.4	0.4	0.44	0.32	0.32	0.4	0.4
73	0.12	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0.24	0.04	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0.32	0.32	0.4	0.24	0.32	0.4	0.32	0.24	0.24	0.24	0.32	0.24	0.32	0.2	0.32	0.32	0.2
74	0	0	0	0	0	0	0.04	0.04	0.04	0	0	0	0	0	0.04	0.04	0.04	0.32	0.32	0.4	0.4	0.24	0.4	0.32	0.32	0.44	0.4	0.32	0.4	0.32	0.24	0.32	0.24	0.2
75	0	0	0.04	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.12	0.12	0.2	0.2	0.2	0.2	0.32	0.32	0.24	0.4	0.32	0.32	0.32	0.12	0.12	0.4	0.2	0.2	0.2	0.24	0.2	0.2	0.2
all	0.206933333	0.216	0.228266667	0.24	0.254933333	0.276266667	0.277333333	0.282666667	0.2976	0.202666667	0.2208	0.238933333	0.248	0.2736	0.2832	0.2816	0.290666667	0.322666667	0.3328	0.3456	0.344533333	0.348266667	0.3616	0.3216	0.326933333	0.328	0.346666667	0.348266667	0.332266667	0.338666667	0.348266667	0.3296	0.328	0.328
